location,year,metrics,val,type,cause
Ethiopia,1999,Number,220953.1255,country,Environmental/occupational risks
Ethiopia,1999,Percent,0.23751643,country,Environmental/occupational risks
Ethiopia,2000,Number,216184.5261,country,Environmental/occupational risks
Ethiopia,2000,Percent,0.231718254,country,Environmental/occupational risks
Ethiopia,2001,Number,209838.5476,country,Environmental/occupational risks
Ethiopia,2001,Percent,0.243125931,country,Environmental/occupational risks
Ethiopia,2002,Number,202632.2687,country,Environmental/occupational risks
Ethiopia,2002,Percent,0.240876959,country,Environmental/occupational risks
Ethiopia,2003,Number,195449.4867,country,Environmental/occupational risks
Ethiopia,2003,Percent,0.237937529,country,Environmental/occupational risks
Ethiopia,2004,Number,188224.9161,country,Environmental/occupational risks
Ethiopia,2004,Percent,0.236087721,country,Environmental/occupational risks
Ethiopia,2005,Number,183231.253,country,Environmental/occupational risks
Ethiopia,2005,Percent,0.238978416,country,Environmental/occupational risks
Ethiopia,2006,Number,177501.313,country,Environmental/occupational risks
Ethiopia,2006,Percent,0.241102031,country,Environmental/occupational risks
Ethiopia,2007,Number,172269.8398,country,Environmental/occupational risks
Ethiopia,2007,Percent,0.24565623,country,Environmental/occupational risks
Ethiopia,2008,Number,166502.8814,country,Environmental/occupational risks
Ethiopia,2008,Percent,0.248020132,country,Environmental/occupational risks
Ethiopia,2009,Number,160411.8193,country,Environmental/occupational risks
Ethiopia,2009,Percent,0.248197218,country,Environmental/occupational risks
Ethiopia,2010,Number,153891.7118,country,Environmental/occupational risks
Ethiopia,2010,Percent,0.247191974,country,Environmental/occupational risks
Ethiopia,2011,Number,150608.6214,country,Environmental/occupational risks
Ethiopia,2011,Percent,0.249469002,country,Environmental/occupational risks
Ethiopia,2012,Number,146730.2898,country,Environmental/occupational risks
Ethiopia,2012,Percent,0.248360136,country,Environmental/occupational risks
Ethiopia,2013,Number,143566.2131,country,Environmental/occupational risks
Ethiopia,2013,Percent,0.247162863,country,Environmental/occupational risks
Ethiopia,2014,Number,142584.6536,country,Environmental/occupational risks
Ethiopia,2014,Percent,0.249014716,country,Environmental/occupational risks
Ethiopia,2015,Number,140547.9881,country,Environmental/occupational risks
Ethiopia,2015,Percent,0.247295298,country,Environmental/occupational risks
Ethiopia,2016,Number,139544.1456,country,Environmental/occupational risks
Ethiopia,2016,Percent,0.245954643,country,Environmental/occupational risks
Ethiopia,2017,Number,140147.2791,country,Environmental/occupational risks
Ethiopia,2017,Percent,0.248190084,country,Environmental/occupational risks
Ethiopia,2018,Number,140179.5485,country,Environmental/occupational risks
Ethiopia,2018,Percent,0.248378715,country,Environmental/occupational risks
Ethiopia,2019,Number,139601.6902,country,Environmental/occupational risks
Ethiopia,2019,Percent,0.247405038,country,Environmental/occupational risks
Ethiopia,2020,Number,135770.7557,country,Environmental/occupational risks
Ethiopia,2020,Percent,0.210713585,country,Environmental/occupational risks
Ethiopia,2021,Number,135564.3286,country,Environmental/occupational risks
Ethiopia,2021,Percent,0.183984603,country,Environmental/occupational risks
India,1990,Number,2835400.24,country,Environmental/occupational risks
India,1990,Percent,0.36231722,country,Environmental/occupational risks
India,1991,Number,2871643.927,country,Environmental/occupational risks
India,1991,Percent,0.364467392,country,Environmental/occupational risks
India,1992,Number,2923117.911,country,Environmental/occupational risks
India,1992,Percent,0.365267242,country,Environmental/occupational risks
India,1993,Number,2911762.764,country,Environmental/occupational risks
India,1993,Percent,0.364344732,country,Environmental/occupational risks
India,1994,Number,2928064.155,country,Environmental/occupational risks
India,1994,Percent,0.363770093,country,Environmental/occupational risks
India,1995,Number,2982369.741,country,Environmental/occupational risks
India,1995,Percent,0.364711996,country,Environmental/occupational risks
India,1996,Number,2967783.019,country,Environmental/occupational risks
India,1996,Percent,0.361582523,country,Environmental/occupational risks
India,1997,Number,2956697.294,country,Environmental/occupational risks
India,1997,Percent,0.358475523,country,Environmental/occupational risks
India,1998,Number,2979893.653,country,Environmental/occupational risks
India,1998,Percent,0.357156581,country,Environmental/occupational risks
India,1999,Number,2881712.443,country,Environmental/occupational risks
India,1999,Percent,0.351841974,country,Environmental/occupational risks
India,2000,Number,2834355.582,country,Environmental/occupational risks
India,2000,Percent,0.347873444,country,Environmental/occupational risks
India,2001,Number,2834228.582,country,Environmental/occupational risks
India,2001,Percent,0.345669341,country,Environmental/occupational risks
India,2002,Number,2857000.536,country,Environmental/occupational risks
India,2002,Percent,0.348801969,country,Environmental/occupational risks
India,2003,Number,2900395.818,country,Environmental/occupational risks
India,2003,Percent,0.351158114,country,Environmental/occupational risks
India,2004,Number,2911764.664,country,Environmental/occupational risks
India,2004,Percent,0.34951635,country,Environmental/occupational risks
India,2005,Number,2924762.065,country,Environmental/occupational risks
India,2005,Percent,0.348675269,country,Environmental/occupational risks
India,2006,Number,2957322.639,country,Environmental/occupational risks
India,2006,Percent,0.347865784,country,Environmental/occupational risks
India,2007,Number,3048827.168,country,Environmental/occupational risks
India,2007,Percent,0.350435258,country,Environmental/occupational risks
India,2008,Number,3069056.302,country,Environmental/occupational risks
India,2008,Percent,0.34807758,country,Environmental/occupational risks
India,2009,Number,3044767.111,country,Environmental/occupational risks
India,2009,Percent,0.348475997,country,Environmental/occupational risks
India,2010,Number,3074078.717,country,Environmental/occupational risks
India,2010,Percent,0.349558011,country,Environmental/occupational risks
India,2011,Number,3098001.15,country,Environmental/occupational risks
India,2011,Percent,0.347567493,country,Environmental/occupational risks
India,2012,Number,3165032.508,country,Environmental/occupational risks
India,2012,Percent,0.351317286,country,Environmental/occupational risks
India,2013,Number,3239113.55,country,Environmental/occupational risks
India,2013,Percent,0.351630564,country,Environmental/occupational risks
India,2014,Number,3303597.23,country,Environmental/occupational risks
India,2014,Percent,0.354999669,country,Environmental/occupational risks
India,2015,Number,3229114.854,country,Environmental/occupational risks
India,2015,Percent,0.349612716,country,Environmental/occupational risks
India,2016,Number,3198589.937,country,Environmental/occupational risks
India,2016,Percent,0.347407083,country,Environmental/occupational risks
India,2017,Number,3202451.397,country,Environmental/occupational risks
India,2017,Percent,0.343434487,country,Environmental/occupational risks
India,2018,Number,3227496.774,country,Environmental/occupational risks
India,2018,Percent,0.341213101,country,Environmental/occupational risks
India,2019,Number,3237240.768,country,Environmental/occupational risks
India,2019,Percent,0.33961184,country,Environmental/occupational risks
India,2020,Number,3095599.412,country,Environmental/occupational risks
India,2020,Percent,0.290208316,country,Environmental/occupational risks
India,2021,Number,3135839.172,country,Environmental/occupational risks
India,2021,Percent,0.266935239,country,Environmental/occupational risks
Indonesia,1990,Number,449661.7314,country,Environmental/occupational risks
Indonesia,1990,Percent,0.328600539,country,Environmental/occupational risks
Indonesia,1991,Number,436236.2418,country,Environmental/occupational risks
Indonesia,1991,Percent,0.320307629,country,Environmental/occupational risks
Indonesia,1992,Number,424972.3212,country,Environmental/occupational risks
Indonesia,1992,Percent,0.312533234,country,Environmental/occupational risks
Indonesia,1993,Number,415870.9626,country,Environmental/occupational risks
Indonesia,1993,Percent,0.305909615,country,Environmental/occupational risks
Indonesia,1994,Number,406365.517,country,Environmental/occupational risks
Indonesia,1994,Percent,0.298833125,country,Environmental/occupational risks
Indonesia,1995,Number,396696.6862,country,Environmental/occupational risks
Indonesia,1995,Percent,0.291618849,country,Environmental/occupational risks
Indonesia,1996,Number,388657.8719,country,Environmental/occupational risks
Indonesia,1996,Percent,0.284936996,country,Environmental/occupational risks
Indonesia,1997,Number,384385.4735,country,Environmental/occupational risks
Indonesia,1997,Percent,0.279077924,country,Environmental/occupational risks
Indonesia,1998,Number,382741.7673,country,Environmental/occupational risks
Indonesia,1998,Percent,0.273914396,country,Environmental/occupational risks
Indonesia,1999,Number,382323.5175,country,Environmental/occupational risks
Indonesia,1999,Percent,0.269453626,country,Environmental/occupational risks
Indonesia,2000,Number,382069.4356,country,Environmental/occupational risks
